,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUADRO N° 1,,,,Contenido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRODUCCIÓN DE LA INDUSTRIA MANUFACTURERA (IPI-M) BASE: 2015=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SERIE HISTÓRICA DEL ÍNDICE DEL IPI-M, periodo enero 2016 -  septiembre 2020
POR CLASIFICACIÓN NACIONAL DE ACTIVIDADES ECONÓMICAS - CIIU
(Número)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,CIIU,Descripción,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20
3,C143,Fabricación de artículos de punto y ganchillo.,77.69,59.80,116.81,70.14,72.45,72.14,72.83,85.78,70.94,36.45,58.19,42.89,23.63,34.58,50.36,49.06,38.42,41.06,45.77,53.03,38.77,34.59,45.72,66.01,25.27,28.70,44.61,41.20,40.07,36.89,47.30,55.28,67.87,37.68,44.53,41.44,27.59,37.13,24.60,36.15,24.65,28.71,24.99,35.30,25.01,22.83,17.97,29.93,18.70,16.71,14.61,12.41,10.14,10.20,12.16,16.46,18.92
2,C15,Fabricación de cueros y productos conexos.,75.08,127.83,109.72,101.87,112.20,76.06,85.07,89.74,85.82,71.53,78.82,82.15,74.24,87.11,96.81,96.08,75.90,70.95,78.32,83.20,81.66,84.62,105.88,107.55,58.15,75.07,111.28,99.91,125.65,121.40,133.65,127.01,114.09,104.26,115.92,129.03,127.25,150.16,143.18,114.02,143.35,133.61,152.09,147.96,119.85,130.74,133.89,141.13,117.41,137.55,124.07,99.66,117.80,212.85,218.27,235.88,185.20
3,C151,"Curtido y adobo de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería; adobo y teñido de pieles.",74.91,94.28,67.66,40.51,61.56,59.32,58.70,65.73,62.76,70.00,72.60,64.80,55.48,62.25,69.96,62.56,57.67,54.08,49.62,52.32,49.62,55.11,69.94,69.20,55.67,53.44,88.51,83.06,101.04,76.21,69.10,55.79,64.24,76.34,87.70,114.92,76.81,78.04,100.84,72.65,84.07,53.33,79.44,87.89,73.54,84.20,67.11,50.74,30.38,43.54,37.44,37.44,36.16,60.29,86.68,83.90,159.32
3,C152,Fabricación de calzado.,75.12,135.30,119.09,115.53,123.48,79.79,90.94,95.08,90.95,71.87,80.20,86.02,78.42,92.65,102.79,103.54,79.96,74.71,84.71,90.08,88.79,91.20,113.89,116.09,58.70,79.88,116.35,103.66,131.13,131.46,148.02,142.88,125.19,110.48,122.20,132.17,138.49,166.22,152.62,123.23,156.55,151.48,168.27,161.34,130.16,141.11,148.77,161.26,136.79,158.48,143.36,113.52,135.98,246.82,247.57,269.73,190.96
2,C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.",77.49,174.41,204.54,42.73,131.06,91.79,76.43,106.94,127.96,119.12,141.68,103.84,97.21,83.87,144.45,115.58,142.08,130.22,126.70,130.58,106.22,103.36,131.23,110.09,88.54,101.47,167.92,176.68,191.67,145.88,145.69,129.36,72.72,66.35,69.06,85.30,49.42,52.11,56.35,57.56,57.59,54.95,63.36,59.97,61.97,63.07,68.81,85.14,90.39,126.50,85.39,29.47,43.92,91.06,101.54,98.81,206.06
3,C161,Aserrado y acepilladura de madera.,41.25,229.09,271.46,13.86,125.41,66.18,37.78,79.73,147.67,96.55,138.85,81.64,60.41,61.96,130.60,94.08,121.54,109.74,101.22,112.11,74.66,67.10,102.01,93.93,49.94,72.38,168.07,169.99,217.04,122.18,123.82,108.10,20.24,15.88,15.88,15.88,6.37,3.67,3.67,0.06,0.06,0.06,0.05,0.12,0.09,0.13,0.19,0.17,0.18,0.18,0.16,0.14,0.16,0.16,0.20,0.19,0.22
3,C162,Fabricación de hojas de madera para enchapado y tableros a base de madera.,138.80,81.92,91.32,91.56,140.64,135.12,141.81,152.97,94.60,157.31,146.48,141.41,159.48,120.93,167.90,151.96,176.82,164.88,169.80,161.83,159.61,164.70,180.67,137.43,153.85,150.67,167.66,188.01,148.76,185.97,182.69,165.35,161.49,151.74,159.04,202.76,122.26,134.08,145.48,154.84,154.92,147.83,170.47,161.24,166.67,169.57,184.90,228.92,243.01,340.23,229.60,79.08,117.96,244.86,273.01,265.66,554.33
2,C17,Fabricación de papel y de productos de papel.,97.61,92.63,74.42,86.50,85.68,77.49,103.50,91.52,54.37,50.96,53.37,50.99,54.09,53.89,57.15,58.67,53.39,52.86,50.09,51.00,50.95,53.45,55.86,55.54,53.55,48.40,55.72,52.76,54.31,48.72,47.22,50.17,47.71,48.31,46.44,39.56,47.66,39.86,42.94,44.44,42.84,37.33,38.19,37.32,37.12,37.85,35.75,39.11,40.38,37.14,34.62,31.54,33.79,33.25,34.28,34.40,37.04
3,C170,Fabricación de papel y de productos de papel.,97.61,92.63,74.42,86.50,85.68,77.49,103.50,91.52,54.37,50.96,53.37,50.99,54.09,53.89,57.15,58.67,53.39,52.86,50.09,51.00,50.95,53.45,55.86,55.54,53.55,48.40,55.72,52.76,54.31,48.72,47.22,50.17,47.71,48.31,46.44,39.56,47.66,39.86,42.94,44.44,42.84,37.33,38.19,37.32,37.12,37.85,35.75,39.11,40.38,37.14,34.62,31.54,33.79,33.25,34.28,34.40,37.04
2,C18,Impresión y reproducción de grabaciones.,82.66,84.48,93.43,88.83,93.68,81.69,79.96,87.04,87.32,86.10,83.62,86.29,74.57,73.02,84.46,79.38,79.29,76.00,70.17,71.75,77.19,80.87,83.89,87.69,71.62,76.36,88.36,90.99,89.40,86.31,79.95,78.56,78.90,84.65,87.65,83.26,73.25,75.65,81.95,89.82,95.15,84.45,104.75,129.89,143.40,147.63,196.30,130.28,110.26,124.54,89.59,42.56,57.40,63.22,68.39,63.94,64.13
